大学名,研究科,専攻名,氏名（漢字）,研究テーマ（スラッシュ区切り）,個人ページURL,出典URL,取得日時,run_id,研究室名称（JP）,タグ（JP）,evidence_path
北海道大学,水産科学院,,阿部 泰人,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/abehiroto?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,秋田 晋吾,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/akita-shingo?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,安藤 靖浩,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/ando-yasuhiro?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,別府 史章,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/beppu-fumiaki?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,生物資源 海洋共生学,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/bower-john-richard?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,国際 教育室,国際教育室,https://www2.fish.hokudai.ac.jp/faculty-member/tony?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,藤森 康澄,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/fujimori-yasuzumi?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,藤本 貴史,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/takafumi-fujimoto?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,藤田 雅紀,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/fujita_masaki?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,五味 伸太郎,応用物理学,https://www2.fish.hokudai.ac.jp/faculty-member/gomi_shintaro?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,長谷 川浩平,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/hasegawa-kohei?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,特任 樋口,増殖生物学,https://www2.fish.hokudai.ac.jp/faculty-member/higuchi-ichiro?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
